Provinsi,Tahun,Bulan,Jenis Kredit/Pembiayaan,"Nominal Kredit 
(Rp Miliar)","Nominal NPL 
(Rp Miliar)",Nominal NPL Net (Rp Miliar),Jumlah Rekening UMKM
Bengkulu,2025,Januari,UMKM,13480.725132289,297.229222256,112.88943775,197796
Sumatera Selatan,2025,Februari,UMKM,40046.731286469,1626.451921078,622.8708004,656273
KEPULAUAN BANGKA BELITUNG,2025,Februari,UMKM,6841.068719832,252.180451231,93.612018332,92470
Lampung,2025,Februari,UMKM,33098.550690394,1592.030410789,709.282968764,566867
Jambi,2025,Februari,UMKM,26375.764269728,677.534793714,316.26270145,294025
Bengkulu,2025,Februari,UMKM,13588.774899242,298.788387757,119.081771338,198304
Sumatera Selatan,2025,Januari,Non UMKM,79178.950095096,1201.438847797,454.320672477,393393
KEPULAUAN BANGKA BELITUNG,2025,Januari,Non UMKM,11006.152898275,117.431565948,47.881173127,69067
Lampung,2025,Januari,Non UMKM,50212.668075475,719.799137597,262.114194076,268051
Jambi,2025,Januari,Non UMKM,29407.658353571,483.404377176,209.333593163,194032
Bengkulu,2025,Januari,Non UMKM,16412.14947336,177.986139629,86.889969017,125108
Sumatera Selatan,2025,Februari,Non UMKM,79586.012092859,1225.815006027,472.565326627,395552
